Year,Quarter,iPhone_sales
2008,1,1.703
2008,2,0.717
2008,3,6.892
2008,4,4.363
2009,1,3.793
2009,2,5.208
2009,3,7.367
2009,4,8.737
2010,1,8.752
2010,2,8.398
2010,3,14.102
2010,4,16.235
2011,1,18.647
2011,2,20.338
2011,3,17.073
2011,4,37.044
2012,1,35.064
2012,2,26.028
2012,3,26.91
2012,4,47.789
2013,1,37.43
2013,2,31.241
2013,3,33.797
2013,4,51.025
2014,1,43.719
2014,2,35.203
2014,3,39.272
2014,4,74.468
2015,1,61.17
2015,2,47.534
2015,3,48.046
2015,4,74.779
2016,1,51.193
2016,2,40.399
2016,3,45.513
2016,4,78.29
2017,1,50.763
2017,2,41.026
